service,runtime,team,owner,criticality,data_tier,internet_facing,service_account,repo,threat_model
api-gateway,Cloud Run,Platform,Dana Okafor,tier-0,none,yes,gateway@medscribe-prod.iam,medscribe/api-gateway,yes
audio-ingestion,Cloud Run (Python),Pipeline,Priya Raman,tier-0,phi,no,audio-ingest@medscribe-prod.iam,medscribe/audio-ingestion,partial
transcription-svc,Cloud Run (Python),Pipeline,Priya Raman,tier-0,phi,no,transcription@medscribe-prod.iam,medscribe/transcription-svc,no
phi-scrub-svc,Cloud Run (Python),AI Platform,Marcus Lee,tier-0,phi,no,phi-scrub@medscribe-prod.iam,medscribe/phi-scrub-svc,partial
ai-summarization-svc,Cloud Run (Python),AI Platform,Marcus Lee,tier-0,phi,no,ai-summary@medscribe-prod.iam,medscribe/ai-summarization-svc,no
output-validation-svc,Cloud Run (Python),AI Platform,Marcus Lee,tier-0,phi,no,output-val@medscribe-prod.iam,medscribe/output-validation-svc,no
emr-integration-svc,Cloud Run (Python),Pipeline,Sofia Castellano,tier-0,phi,no,emr-integration@medscribe-prod.iam,medscribe/emr-integration-svc,no
clinician-portal,Cloud Run (Next.js),Frontend,Jordan Vale,tier-0,phi,yes,portal@medscribe-prod.iam,medscribe/clinician-portal,no
admin-portal,Cloud Run (Next.js),Frontend,Jordan Vale,tier-1,phi,yes,admin-portal@medscribe-prod.iam,medscribe/admin-portal,no
notification-svc,Cloud Run (Python),Platform,Dana Okafor,tier-2,none,no,notify@medscribe-prod.iam,medscribe/notification-svc,no
